nodes,lat,lon
5003,33.190835,-91.772267
5005,36.280268,-92.329949
5007,36.337819,-94.256298
5009,36.304299,-93.079236
5011,33.466549,-92.169156
5013,33.56046,-92.513879
5015,36.33737,-93.540972
5017,33.267139,-91.297158
5019,34.053316,-93.176208
5021,36.367302,-90.418704
5023,35.566315,-92.05995
5025,33.893201,-92.188714
5027,33.223038,-93.232843
5029,35.265702,-92.689248
5031,35.827729,-90.631421
5033,35.583011,-94.236219
5035,35.211879,-90.315332
5037,35.285692,-90.763984
5039,33.967823,-92.653999
5041,33.828752,-91.244103
5043,33.587242,-91.722778
5045,35.146548,-92.336928
5047,35.508558,-93.887665
5049,36.383619,-91.819664
5051,34.578852,-93.146932
5053,34.285568,-92.422979
5055,36.120607,-90.566346
5057,33.735953,-93.664355
5059,34.315177,-92.944147
5061,34.083064,-93.990931
5063,35.737499,-91.559942
5065,36.094879,-91.913625
5067,35.596467,-91.223205
5069,34.277239,-91.929673
5071,35.573359,-93.466322
5073,33.240629,-93.611514
5075,36.041098,-91.101153
5077,34.779505,-90.779717
5079,33.957675,-91.727626
5081,33.699497,-94.229774
5083,35.218654,-93.72091
5085,34.755114,-91.894132
5087,36.012545,-93.724053
5089,36.266664,-92.678577
5091,33.305505,-93.901502
5093,35.766944,-90.052207
5095,34.679512,-91.20331
5097,34.545656,-93.664153
5099,33.666699,-93.305072
5101,35.910742,-93.215898
5103,33.591168,-92.878413
5105,34.946363,-92.926877
5107,34.423687,-90.855593
5109,34.158191,-93.658659
5111,35.56887,-90.681104
5113,34.490915,-94.230884
5115,35.456557,-93.026818
5117,34.831116,-91.55362
5119,34.770311,-92.312996
5121,36.341298,-91.028441
5123,35.022838,-90.751505
5125,34.648525,-92.674463
5127,34.858869,-94.063641
5129,35.896387,-92.695888
5131,35.196981,-94.274989
5133,33.994877,-94.243279
5135,36.173399,-91.471069
5137,35.857001,-92.140482
5139,33.168219,-92.598145
5141,35.582953,-92.515976
5143,35.978001,-94.217269
5145,35.255118,-91.753034
5147,35.192777,-91.244535
5149,34.997713,-93.408303
6001,37.647139,-121.912488
6003,38.621783,-119.798352
6005,38.44355,-120.653856
6007,39.665959,-121.601919
6009,38.1839,-120.561441
6011,39.177739,-122.237563
6013,37.919479,-121.951543
6015,41.763958,-124.003614
6017,38.785612,-120.534225
6019,36.761006,-119.655019
6021,39.602546,-122.4017
6023,40.706655,-123.926176
6025,33.040814,-115.3554
6027,36.561977,-117.403927
6029,35.346629,-118.729506
6031,36.072478,-119.81553
6033,39.094802,-122.746757
6035,40.721086,-120.629952
6037,34.196398,-118.261862
6039,37.209821,-119.749802
6041,38.051817,-122.745974
6043,37.57003,-119.912861
6045,39.432388,-123.442881
6047,37.194806,-120.722802
6049,41.592918,-120.71837
6051,37.915836,-118.875167
6053,36.240107,-121.315572
6055,38.5071,-122.325904
6057,39.297508,-120.771343
6059,33.675687,-117.777207
6061,39.062032,-120.722718
6063,39.992295,-120.824371
6065,33.729828,-116.002239
6067,38.450016,-121.340441
6069,36.611651,-121.085811
6071,34.85722,-116.181197
6073,33.023604,-116.776117
6075,37.727239,-123.032229
6077,37.934982,-121.272244
6079,35.385224,-120.447544
6081,37.414672,-122.371546
6083,34.537057,-120.039973
6085,37.220695,-121.69051
6087,37.012488,-122.007205
6089,40.760514,-122.043556
6091,39.576925,-120.521993
6093,41.587986,-122.533287
6095,38.267226,-121.939594
6097,38.525182,-122.92611
6099,37.562316,-121.002831
6101,39.03619,-121.70394
6103,40.126157,-122.232274
6105,40.647803,-123.114476
6107,36.228834,-118.781055
6109,38.021434,-119.964733
6111,34.358741,-119.133143
6113,38.679596,-121.902441
6115,39.27013,-121.344259
8001,39.874325,-104.331872
8003,37.568442,-105.788041
8005,39.644554,-104.331706
8007,37.202395,-107.050863
8009,37.30978,-102.543741
8011,37.931891,-103.077584
8013,40.09497,-105.397691
8014,39.953593,-105.050787
8015,38.738223,-106.316683
8017,38.835646,-102.601791
8019,39.669732,-105.69257
8021,37.213406,-106.176447
8023,37.277547,-105.42894
8025,38.30618,-103.772736
8027,38.101996,-105.373512
8029,38.861595,-107.864892
8031,39.76185,-104.881105
8033,37.711723,-108.524116
8035,39.325414,-104.925987
8037,39.626992,-106.695169
8039,39.315157,-104.114076
8041,38.827383,-104.527472
8043,38.45517,-105.424958
8045,39.599352,-107.90978
8047,39.861156,-105.528878
8049,40.113065,-106.110837
8051,38.670499,-107.05688
8053,37.821165,-107.338261
8055,37.687815,-104.959928
8057,40.663432,-106.329248
8059,39.579511,-105.245462
8061,38.387663,-102.756849
8063,39.30534,-102.603023
8065,39.205341,-106.350079
8067,37.287367,-107.839718
